id,ancestor_list,origin_time,score_AVE
3059,[2092],29,1.000000
3060,[2006],29,1.500000
3061,[2001],29,2.500000
3062,[2074],29,0.500000
3063,[2006],29,1.000000
3064,[2038],29,2.000000
3065,[2072],29,1.500000
3066,[2073],29,1.500000
3067,[2001],29,1.000000
3068,[2072],29,1.000000
3069,[2098],29,1.500000
3070,[2001],29,1.000000
3071,[2073],29,0.000000
3072,[2001],29,1.000000
3073,[2001],29,3.000000
3074,[2063],29,3.500000
3075,[2001],29,2.000000
3076,[2001],29,1.500000
3077,[2001],29,2.500000
3078,[2035],29,1.000000
3079,[2006],29,1.500000
3080,[2006],29,0.000000
3081,[2035],29,1.500000
3082,[2001],29,1.500000
3083,[2098],29,1.500000
3084,[2098],29,1.000000
3085,[2006],29,2.500000
3086,[2001],29,1.500000
3087,[2057],29,0.000000
3088,[2098],29,1.500000
3089,[2001],29,1.000000
3090,[2001],29,0.500000
3091,[2001],29,1.000000
3092,[2073],29,0.000000
3093,[2073],29,1.000000
3094,[2001],29,1.000000
3095,[2093],29,2.000000
3096,[2006],29,2.500000
3097,[2001],29,1.000000
3098,[2001],29,1.500000
3099,[2006],29,1.500000
3100,[2074],29,1.500000
4001,[3085],39,1.000000
4002,[3056],39,0.000000
4003,[3042],39,3.000000
4004,[3044],39,2.000000
4005,[3042],39,1.500000
4006,[3075],39,1.000000
4007,[3012],39,1.000000
4008,[3044],39,1.000000
4009,[3012],39,1.500000
4010,[3012],39,2.000000
4011,[3075],39,1.000000
4012,[3075],39,1.000000
4013,[3072],39,4.000000
4014,[3075],39,1.500000
4015,[3044],39,2.000000
4016,[3075],39,1.500000
4017,[3072],39,1.500000
4018,[3075],39,2.000000
4019,[3074],39,2.000000
4020,[3027],39,1.000000
4021,[3075],39,2.000000
4022,[3027],39,1.000000
4023,[3074],39,1.500000
4024,[3027],39,2.000000
4025,[3027],39,1.000000
4026,[3056],39,2.500000
4027,[3027],39,1.500000
4028,[3042],39,4.000000
4029,[3056],39,1.500000
4030,[3012],39,1.500000
4031,[3075],39,1.000000
4032,[3075],39,2.000000
4033,[3045],39,1.000000
4034,[3074],39,1.500000
4035,[3075],39,1.000000
4036,[3074],39,1.000000
4037,[3074],39,1.500000
4038,[3075],39,1.500000
4039,[3072],39,1.000000
4040,[3027],39,2.500000
4041,[3075],39,1.500000
4042,[3072],39,2.000000
4043,[3012],39,1.500000
4044,[3075],39,1.000000
4045,[3045],39,1.000000
4046,[3027],39,1.500000
4047,[3027],39,1.000000
